Nazwa firmy,Profil dzialalnosci,Mail,www,tel,Adres siedziby,Kod Pocztowy,Miejscowosc,Wojewodztwo,Nazwa profilu aluminiowe,Nazwa okucia alu,Nazwa profilu PCV,Nazwa okucia PCV,,,,
ILBUPLAST,Producent drzwi stalowych,,,,PLOVDIV,  -   ,BULGARIA,ZAGRANICA,Aliplast,Master,Schuco,Winkhaus,,,,
ILMONDO,Sklep internetowy,,,,NOVI BEOGRAD,  -   ,SERBIA,ZAGRANICA,Ponzio,Fapim,Profine,Siegenia,,,,
ILSAD LTD.,Hurtownia,,,,OZALJ,  -   ,CHORWACJA,ZAGRANICA,Yawal,Stac,Aluplast,Winkhaus,,,,
IMEPSA,Producent PCV,,,,MONTREM,  -   ,FRANCJA,ZAGRANICA,Aluprof,Master,Veka,Siegenia,,,,
IMEX-POL,Producent Alu,,,,,  -   ,BIALYSTOK,PODLASKIE,Aliplast,Fapim,Rehau,Winkhaus,,,,
IMPAR,Producent drzwi stalowych,,,,RENNES CEDEX,  -   ,FRANCJA,ZAGRANICA,Ponzio,Stac,Vital,Siegenia,,,,
IMPET SYSTEMS,Sklep internetowy,,,,OWSIANA 21,43-313,BIELSKO-BIA�A,SLASKIE,Yawal,Master,Deco,Winkhaus,,,,
IMPOL,Hurtownia,,,,POWSTA�COW WIELKOPOLSKI 5,64-111,LIPNO,KUJAWSKO POMORSKIE,SAPA,Fapim,Schuco,Siegenia,,,,
IMPORTADORA Y DISTRIBUIDORA ALEMI LTDA.,Producent PCV,,,,SANTIAGO,  -   ,CHILE,ZAGRANICA,Morad,Stac,Profine,Winkhaus,,,,
IMPOS GRUP SRL,Hurtownia,,,,CLUJ NAPOCA,  -   ,RUMUNIA,ZAGRANICA,Blyweerth,Master,Aluplast,Siegenia,,,,
IN GLASS,Producent PCV,,,,MY?LENICKA 23,32-031,MOGILANY,MALOPOLSKIE,Reynaers,Fapim,Veka,Winkhaus,,,,
INAPLAST LTD,Producent Alu,,,,SOFIA,  -   ,BULGARIA,ZAGRANICA,Aluprof,Stac,Rehau,Siegenia,,,,
INARBUD,Producent drzwi stalowych,,,,WOJSKA POLSKIEGO,  -   ,ZAMO??,MAZOWIECKIE,Aliplast,Master,Vital,Winkhaus,,,,
INDOMEX,Sklep internetowy,,,,STEFCZYKA 97, BACHOWICE,34-116,SPYTKOWICE,BRAK DANYCH,Ponzio,Fapim,Deco,Siegenia,,,
INDUPANEL,Hurtownia,,,,A CORUNA,  -   ,HISZPANIA,ZAGRANICA,Yawal,Stac,Schuco,Winkhaus,,,,
INFO MARKET,Producent PCV,,,,ADA,  -   ,SERBIA,ZAGRANICA,Aluprof,Master,Profine,Siegenia,,,,
INFRABUD,Hurtownia,,,,ZIELNA 1,62-002,SUCHY LAS,WIELKOPOLSKIE,Aliplast,Fapim,Aluplast,Winkhaus,,,,
INHATEX,Producent PCV,,,,MARCINKOWSKIEGO 106A,88-100,INOWROCLAW,KUJAWSKO POMORSKIE,Ponzio,Stac,Veka,Siegenia,,,,
INITIAL,Producent Alu,,,,,  -   ,FRANCJA,ZAGRANICA,Yawal,Master,Rehau,Winkhaus,,,,
INNOVATE DIY WINDOWS SDN. BHD,Producent drzwi stalowych,,,,,  -   ,MALEZJA,ZAGRANICA,SAPA,Fapim,Vital,Siegenia,,,,
INOUTIC / DECEUNINCK SP. Z O.O. ,Sklep internetowy,,,,JASIN, UL. POZNANSKA 34,62-020,SWARZ?DZ,WIELKOPOLSKIE,Aluprof,Stac,Deco,Winkhaus,,,
INSTAL-BUD,Hurtownia,,,,O? TYSI�CLECIA 66/9,31-610,KRAKOW,MALOPOLSKIE,Aliplast,Master,Schuco,Siegenia,,,,
INTEGRITY,Producent PCV,,,,NEW DELHI,  -   ,INDIE,ZAGRANICA,Ponzio,Fapim,Profine,Winkhaus,,,,
INTEL SOLAR,Producent Alu,,,,�OBODZKA 29,89-530,?LIWICE,KUJAWSKO POMORSKIE,Yawal,Stac,Aluplast,Siegenia,,,,
INTER AL PIN,Producent drzwi stalowych,,,,SKOPJE,  -   ,MACEDONIA,ZAGRANICA,SAPA,Master,Veka,Winkhaus,,,,
INTER-BUD,Sklep internetowy,,,,CZERWONE MAKI 65,30-392,KRAKOW,MALOPOLSKIE,Morad,Fapim,Rehau,Siegenia,,,,
INTER-PLAST,Hurtownia,,,,UL. PODZAMCZE 25,27-100,I�?A,MAZOWIECKIE,Blyweerth,Stac,Vital,Winkhaus,,,,
INTERCOM TOPAZ,Producent PCV,,,,CONSTANTA,  -   ,RUMUNIA,ZAGRANICA,Reynaers,Master,Deco,Siegenia,,,,
INTERCOMM,Hurtownia,,,,KLLOKOT ,  -   ,KOSOWO,ZAGRANICA,Aluprof,Fapim,Schuco,Winkhaus,,,,
INTERDOOR,Producent PCV,,,,BIESZKOWICE 45 K/GDYNI,84-206,NOWY DW�R WEJHEROWSKI,POMORSKIE,Aliplast,Stac,Profine,Siegenia,,,,
INTERPLAST ,Producent Alu,,,,KOZ�Y 65,05-240,T�USZCZ,MAZOWIECKIE,Ponzio,Master,Aluplast,Winkhaus,,,,
INTERPLAST,Producent drzwi stalowych,,,,BURGAS,  -   ,BULGARIA,ZAGRANICA,Yawal,Fapim,Veka,Siegenia,,,,
INTERPLAST LIMITED,Sklep internetowy,,,,ACCRA,  -   ,GHANA,ZAGRANICA,Aluprof,Stac,Rehau,Winkhaus,,,,
INTERPRODUKT,Hurtownia,,,,BOCIANIA 6,31-231,KRAKOW,MALOPOLSKIE,Aliplast,Master,Vital,Siegenia,,,,
INTERPROFIL,Producent PCV,,,,BUCHAREST,  -   ,RUMUNIA,ZAGRANICA,Ponzio,Fapim,Deco,Winkhaus,,,,
INVADO,Hurtownia,,,,DZIELNA, LE?NA 2,42-793,CIASNA,BRAK DANYCH,Yawal,Stac,Schuco,Siegenia,,,
INWEST-PROFIL,Producent PCV,,,,WOJASZOWKA,38-471,BAJDY (K. KROSNA)WOJASZOWKA,PODKARPACKIE,SAPA,Master,Profine,Winkhaus,,,,
IN?YNIERIA-PBO,Producent Alu,,,,MAZOWIECKA 9,09-100,P�O�SK,MAZOWIECKIE,Morad,Fapim,Aluplast,Siegenia,,,,
IRMA,Producent drzwi stalowych,,,,GEN. BEMA 12,32-600,O?WI?CIM,MALOPOLSKIE,Blyweerth,Stac,Veka,Winkhaus,,,,
IRSAN,Sklep internetowy,,,,G�ADKA 25,02-172,WARSZAWA,BRAK DANYCH,Reynaers,Master,Rehau,Siegenia,,,,
ISODOMUS,Hurtownia,,,,,11-030,PRUDA,WARMINSKO MAZURSKIE,Aluprof,Fapim,Vital,Winkhaus,,,,
ISOFAS,Producent PCV,,,,PAWLICZKA 26,41-800,ZABRZE,SLASKIE,Aliplast,Stac,Deco,Siegenia,,,,
ISOFRANCE WINDOWS,Producent Alu,,,,PUISEAUX,  -   ,FRANCJA,ZAGRANICA,Ponzio,Master,Schuco,Winkhaus,,,,
ISSO,Producent drzwi stalowych,,,,UL. INWALIDOW 51,85-749,BYDGOSZCZ,KUJAWSKO POMORSKIE,Yawal,Fapim,Profine,Siegenia,,,,
ITA PLAST,Sklep internetowy,,,,ZIRI ,  -   ,SLOWENIA,ZAGRANICA,Aluprof,Stac,Aluplast,Winkhaus,,,,
IVER-BUD,Hurtownia,,,,KOCZARSKA 13/15,05-082,STARE BABICE,MAZOWIECKIE,Aliplast,Master,Veka,Siegenia,,,,
IWBUD,Producent PCV,,,,RUDKI UL. G�RNICZA 25,26-006,NOWA S�UPIA,SWIETOKRZYSKIE,Ponzio,Fapim,Rehau,Winkhaus,,,,
IZO-PLAST,Hurtownia,,,,MASZEWSKA 15,09-400,P�OCK,MAZOWIECKIE,Yawal,Stac,Vital,Siegenia,,,,
IZOPLAST,Producent PCV,,,,UL.�OWICKA 58,95-047,JE?OW,LODZKIE,SAPA,Master,Deco,Winkhaus,,,,
IZOPLAST �,Producent Alu,,,,FARFAK 6,21-400,�UKOW,LUBELSKIE,Aluprof,Fapim,Schuco,Siegenia,,,,
IZOTERM,Producent drzwi stalowych,,,,BRONIEWSKIEGO 8,43-200,PSZCZYNA,SLASKIE,Aliplast,Stac,Profine,Winkhaus,,,,
J&J,Sklep internetowy,,,,WODNA 3,43-173,�AZISKA G�RNE,SLASKIE,Ponzio,Master,Aluplast,Siegenia,,,,
J&S,Hurtownia,,,,UL. KOLEJOWA 27,28-500,KAZIMIERZA WIELKA,SWIETOKRZYSKIE,Yawal,Fapim,Veka,Winkhaus,,,,
J.D.PAPATHANASSIOU,Producent PCV,,,,KIFISSIA / SALONIKI,  -   ,GRECJA,ZAGRANICA,SAPA,Stac,Rehau,Siegenia,,,,
J.R.SYSTEM,Hurtownia,,,,UL. KOLBIELSKA 39A, STOJADLA,05-300,MI�SK MAZOWIECKI,BRAK DANYCH,Morad,Master,Vital,Winkhaus,,,
JAB�O�SKI,Producent PCV,,,,SPOKOJNA 12,64-850,UJ?CIE,WIELKOPOLSKIE,Blyweerth,Fapim,Deco,Siegenia,,,,
JACKIE FENETRES,Producent Alu,,,,PARIS,  -   ,FRANCJA,ZAGRANICA,Reynaers,Stac,Schuco,Winkhaus,,,,
JACPOL,Producent drzwi stalowych,,,,BARSKA 9,32-552,P�AZA,MALOPOLSKIE,Aluprof,Master,Profine,Siegenia,,,,
JAHA PLAST ,Sklep internetowy,,,,PRISHTIN?,  -   ,KOSOWO,ZAGRANICA,Aliplast,Fapim,Aluplast,Winkhaus,,,,
JAIME MAGALHAES,Hurtownia,,,,BELAS,  -   ,PORTUGALIA,ZAGRANICA,Ponzio,Stac,Veka,Siegenia,,,,
JAM ALU WASIK SP.J,Producent PCV,,,,UL. MAJKOWSKA 19,62-800,KALISZ,WIELKOPOLSKIE,Yawal,Master,Rehau,Winkhaus,,,,
JAM PVC,Producent Alu,,,,TEHERAN,  -   ,IRAN,ZAGRANICA,Aluprof,Fapim,Vital,Siegenia,,,,
JAMO,Producent drzwi stalowych,,,,DIETLA 45,31-054,KRAKOW,MALOPOLSKIE,Aliplast,Stac,Deco,Winkhaus,,,,
JAMPOL,Sklep internetowy,,,,POLSKIE OL?DRY 60,63-330,DOBRZYCA,WIELKOPOLSKIE,Ponzio,Master,Schuco,Siegenia,,,,
JAN BUD,Hurtownia,,,,UL. S�OWACKIEGO 1,23-400,BI�GORAJ,LUBELSKIE,Yawal,Fapim,Profine,Winkhaus,,,,
JANDA PANEL,Producent PCV,,,,UL. D?BOG�RSKA 3 A,84-230,RUMIA,POMORSKIE,SAPA,Stac,Aluplast,Siegenia,,,,
JANDEX-BIS,Hurtownia,,,,RADU�SKA 23,81-057,GDYNIA,POMORSKIE,Morad,Master,Veka,Winkhaus,,,,
JANTEX-BIS,Producent PCV,,,,UL. WOJSKA POLSKIEGO 17 A,88-100,INOWROCLAW,BRAK DANYCH,Blyweerth,Fapim,Rehau,Siegenia,,,,
JARBETAL,Producent Alu,,,,GROBLOWA 2,05-804,PRUSZKOW,MAZOWIECKIE,Reynaers,Stac,Vital,Winkhaus,,,,
JAREK,Producent drzwi stalowych,,,,GRZECZNAROWSKIEGO 52,26-600,RADOM,MAZOWIECKIE,Aluprof,Master,Deco,Siegenia,,,,
JASEK ALUGLASS,Sklep internetowy,,,,UL. RYSZARDA BERWI�SKIEGO 1,63-000,?RODA WIELKOPOLSKA,WIELKOPOLSKIE,Aliplast,Fapim,Schuco,Winkhaus,,,,
JAWOR,Hurtownia,,,,GUTOWSKA 8,08-330,KOSOW LACKI,MAZOWIECKIE,Ponzio,Stac,Profine,Siegenia,,,,
JAWOR,Producent PCV,,,,?W. WINCENTEGO 11,61-003,POZNAN,WIELKOPOLSKIE,Yawal,Master,Aluplast,Winkhaus,,,,
JAYRAJ MARKETING,Hurtownia,,,,AHMEDABAD ,  -   ,INDIE,ZAGRANICA,Aluprof,Fapim,Veka,Siegenia,,,,
JB SYSTEM,Producent PCV,,,,ARTURA GROTTGERA 34B/7,63-100,?REM,WIELKOPOLSKIE,Aliplast,Stac,Rehau,Winkhaus,,,,
JDG,Producent Alu,,,,BARCZEWKO 133A,11-010,BARCZEWKO,WARMINSKO MAZURSKIE,Ponzio,Master,Vital,Siegenia,,,,
JELEN INTERNATIONAL GROUP D.O.O. ,Producent drzwi stalowych,,,,BEOGRAD,  -   ,SERBIA,ZAGRANICA,Yawal,Fapim,Deco,Winkhaus,,,,
JEZIERSKI,Sklep internetowy,,,,LEKOMIN 2,26-050,ZAGNA�SK,SWIETOKRZYSKIE,SAPA,Stac,Schuco,Siegenia,,,,
JEZIORNY RAFA�,Hurtownia,,,,POLESIE 53,98-400,WIERUSZOW,LODZKIE,Aluprof,Master,Profine,Winkhaus,,,,
JM EXIM,Producent PCV,,,,GRANICZNA 58A,62-081,PRZE?MIEROWO,WIELKOPOLSKIE,Aliplast,Fapim,Aluplast,Siegenia,,,,
JMF-FERRAGENS ,Producent Alu,,,,QUELUZ,  -   ,PORTUGALIA,ZAGRANICA,Ponzio,Stac,Veka,Winkhaus,,,,
JNA VINDUER OG DORE A/S,Producent drzwi stalowych,,,,ODENSE,  -   ,DANIA,ZAGRANICA,Yawal,Master,Rehau,Siegenia,,,,
JOAO ABRANTES ALUM?NIOS, LDA.,Sklep internetowy,,,,�GUEDA,  -   ,PORTUGALIA,ZAGRANICA,SAPA,Fapim,Vital,Winkhaus,,,
JOCZ,Hurtownia,,,,?WIERCZEWSKIEGO 38,11-520,RYN,WARMINSKO MAZURSKIE,Morad,Stac,Deco,Siegenia,,,,
JOGA,Producent PCV,,,,G�RNA 4,72-20,NOWOGARD,ZACHODNIO POMOSKIE,Blyweerth,Master,Schuco,Winkhaus,,,,
JOINERY HARDWARE,Hurtownia,,,,AUCKLAND,  -   ,NOWA ZELANDIA,ZAGRANICA,Reynaers,Fapim,Profine,Siegenia,,,,
JOKER-HERBY EKOMAX,Producent PCV,,,,UL. POWSTA�COW ?L�SKICH 1,42-284,HERBY,SLASKIE,Aluprof,Stac,Aluplast,Winkhaus,,,,
JOLGLASS,Producent Alu,,,,Z�OTOWO 10,88-190,BARCIN,BRAK DANYCH,Aliplast,Master,Veka,Siegenia,,,,
JORGE DURO-MATERIAIS, LDA,Producent drzwi stalowych,,,,BIDOEIRA DE CIMA,  -   ,PORTUGALIA,ZAGRANICA,Ponzio,Fapim,Rehau,Winkhaus,,,
JOSEF DAMJANOV,Sklep internetowy,,,,OSTRAVA,  -   ,CZECHY,ZAGRANICA,Yawal,Stac,Vital,Siegenia,,,,
JOSEF MEETH FENSTERFARBIK,Hurtownia,,,,LAUFELD,  -   ,NIEMCY,ZAGRANICA,Aluprof,Master,Deco,Winkhaus,,,,
JOTKA,Producent PCV,,,,STARKIEWICZA 1A,70-030,SZCZECIN,ZACHODNIO POMOSKIE,Aliplast,Fapim,Schuco,Siegenia,,,,
JOVISTE D.O.O ,Hurtownia,,,,SUBOTICA ,  -   ,SERBIA,ZAGRANICA,Ponzio,Stac,Profine,Winkhaus,,,,
JP PREMIUM,Producent PCV,,,,SANDACZA,40-748,KATOWICE,SLASKIE,Yawal,Master,Aluplast,Siegenia,,,,
JR INVESTMENS,Producent Alu,,,,BA�TYCKA 8,76-200,S�UPSK,POMORSKIE,SAPA,Fapim,Veka,Winkhaus,,,,
JSP ALUMINIUM LTD.,Producent drzwi stalowych,,,,LONDON,  -   ,WIELKA BRYTANIA,ZAGRANICA,Morad,Stac,Rehau,Siegenia,,,,
JTW,Sklep internetowy,,,,,83-422,NOWY BARKOCZYN 15,POMORSKIE,Blyweerth,Master,Vital,Winkhaus,,,,
JUKA,Hurtownia,,,,?RODKOWA 20,05-816,OPACZ KOLONIA,MAZOWIECKIE,Reynaers,Fapim,Deco,Siegenia,,,,
JURAND,Producent PCV,,,,UL. IN?YNIERSKA 6,20-484,LUBLIN,LUBELSKIE,Aluprof,Stac,Schuco,Winkhaus,,,,
JUSANCH S.L.,Producent Alu,,,,LAS PALMAS DE G.C. / TELDE,  -   ,HISZPANIA,ZAGRANICA,Aliplast,Master,Profine,Siegenia,,,,
JUSTA,Producent drzwi stalowych,,,,KOBIELNIK 86,32-412,WI?NIOWA,MALOPOLSKIE,Ponzio,Fapim,Aluplast,Winkhaus,,,,
JUSTOR,Sklep internetowy,,,,VILASSAR DE MAR (BARCELONA) ,  -   ,HISZPANIA,ZAGRANICA,Yawal,Stac,Veka,Siegenia,,,,
JUWENT,Hurtownia,,,,BUDOWLANA 3,08-500,RYKI?,LUBELSKIE,Aluprof,Master,Rehau,Winkhaus,,,,
K&K,Producent PCV,,,,UL. BOCZNA 43,27-200,STARACHOWICE,SWIETOKRZYSKIE,Aliplast,Fapim,Vital,Siegenia,,,,
K.M.S.,Hurtownia,,,,SESVETE,  -   ,CHORWACJA,ZAGRANICA,Ponzio,Stac,Deco,Winkhaus,,,,
K2 OKNA I DRZWI,Producent PCV,,,,RZEMIE?LNICZA 2A,19-400,OLECKO,WARMINSKO MAZURSKIE,Yawal,Master,Schuco,Siegenia,,,,
KA COMPANY,Producent Alu,,,,WODNA 1,63-440,RASZKOW,WIELKOPOLSKIE,SAPA,Fapim,Profine,Winkhaus,,,,
KABEX,Producent drzwi stalowych,,,,UL. ?URAWSKA 41,42-253,JANOW,SLASKIE,Aluprof,Stac,Aluplast,Siegenia,,,,
KABO,Sklep internetowy,,,,WYZWOLENIA 22,89-410,WI?CBORK,BRAK DANYCH,Aliplast,Master,Veka,Winkhaus,,,,
KADEMAX,Hurtownia,,,,WILKOW, UL. �YSOG�RSKA 56,26-010,BODZENTYN,SWIETOKRZYSKIE,Ponzio,Fapim,Rehau,Siegenia,,,
KAGIEX,Producent PCV,,,,UL. S�ONECZNA 131/133,42-233,MYKANOW,SLASKIE,Yawal,Stac,Vital,Winkhaus,,,,
KAJFA PROIZVODNJA PVC STOLARIJE D.O.O.,Hurtownia,,,,ZAGREB,  -   ,CHORWACJA,ZAGRANICA,SAPA,Master,Deco,Siegenia,,,,
KAL-PLAST,Producent PCV,,,,UL. SIENKIEWICZA 14,19-300,E�K,WARMINSKO MAZURSKIE,Morad,Fapim,Schuco,Winkhaus,,,,
KALETA,Producent Alu,,,,WOLA SKRZYDLA�SKA89,34-625,SKRZYDLNA,PODKARPACKIE,Blyweerth,Stac,Profine,Siegenia,,,,
KAMEX,Producent drzwi stalowych,,,,LEGNICKA 8A,58-400,KAMIENNA G�RA,DOLNOSLASKIE,Reynaers,Master,Aluplast,Winkhaus,,,,
KAMPEN,Sklep internetowy,,,,,  -   ,IRAN,ZAGRANICA,Aluprof,Fapim,Veka,Siegenia,,,,
KAPEJA,Hurtownia,,,,M�TEWSKA 16,88-100,INOWROCLAW,KUJAWSKO POMORSKIE,Aliplast,Stac,Rehau,Winkhaus,,,,
KAPICA,Producent PCV,,,,STRZELECKA 7,47-120,ZAWADZKIE,OPOLSKIE,Ponzio,Master,Vital,Siegenia,,,,
KAPRYS-MET,Producent Alu,,,,RZESZOTARY 589,32-040,?WI�TNIKI G�RNE,MALOPOLSKIE,Yawal,Fapim,Deco,Winkhaus,,,,
KAR-MAT,Producent drzwi stalowych,,,,PROSTA 6,69-100,S�UBICE,LUBUSKIE,Aluprof,Stac,Schuco,Siegenia,,,,
KARABELA,Sklep internetowy,,,,ARMII KRAJOWEJ 23B,78-300,?WIDWIN,ZACHODNIO POMOSKIE,Aliplast,Master,Profine,Winkhaus,,,,
KARAGIANNI E. & CO,Hurtownia,,,,ATHENS,  -   ,GRECJA,ZAGRANICA,Ponzio,Fapim,Aluplast,Siegenia,,,,
KARATZOGLOU SA,Producent PCV,,,,KARDITSAS-LAMIA-ATENY,  -   ,GRECJA,ZAGRANICA,Yawal,Stac,Veka,Winkhaus,,,,
KARO DREWNO,Hurtownia,,,,STAWIGUDA 258 ,11-034,STAWIGUDA K/OLSZTYNA,WARMINSKO MAZURSKIE,SAPA,Master,Rehau,Siegenia,,,,
KARO-BET,Producent PCV,,,,UL. ZIELONA 8,09-140,RACI�?,MAZOWIECKIE,Morad,Fapim,Vital,Winkhaus,,,,
KARO-PLAST,Producent Alu,,,,?AKOW 31,68-120,I�OWA,LUBUSKIE,Blyweerth,Stac,Deco,Siegenia,,,,
KAROL SWORACKI,Producent drzwi stalowych,,,,KOSZANOWO, GLINKOWA41,64-030,?MIEGIEL,WIELKOPOLSKIE,Reynaers,Master,Schuco,Winkhaus,,,
KARWACKI,Sklep internetowy,,,,T?CZOWA 13,05-200,WO�OMIN,MAZOWIECKIE,Aluprof,Fapim,Profine,Siegenia,,,,
KASKO,Hurtownia,,,,SOKOLA 4,39-400,TARNOBRZEG,PODKARPACKIE,Aliplast,Stac,Aluplast,Winkhaus,,,,
KASPRZAK,Producent PCV,,,,SZYNKIELOW 70,98-313,KONOPNICA,LODZKIE,Ponzio,Master,Veka,Siegenia,,,,
KASTEL,Hurtownia,,,,K�TY NOWE 47,28-130,STOPNICA,SWIETOKRZYSKIE,Yawal,Fapim,Rehau,Winkhaus,,,,
KASTRUP,Producent PCV,,,,HOLSTEBRO ,  -   ,DANIA,ZAGRANICA,Aluprof,Stac,Vital,Siegenia,,,,
KAVIR,Producent Alu,,,,TEHERAN,  -   ,IRAN,ZAGRANICA,Aliplast,Master,Deco,Winkhaus,,,,
KAWKA,Producent drzwi stalowych,,,,UL SK�ADOWA 2,62-240,TRZEMESZNO,WIELKOPOLSKIE,Ponzio,Fapim,Schuco,Siegenia,,,,
KAYE,Sklep internetowy,,,,PORCELITOWA 4,49-130,TU�OWICE,OPOLSKIE,Yawal,Stac,Profine,Winkhaus,,,,
KAZET,Hurtownia,,,,CHWA�OWICKA 3A,55-231,JELCZ LASKOWICE,DOLNOSLASKIE,SAPA,Master,Aluplast,Siegenia,,,,
KER+3MR,Producent PCV,,,,SIENKIEWICZA 100/5,50-348,WROCLAW,DOLNOSLASKIE,Aluprof,Fapim,Veka,Winkhaus,,,,
KERBOL,Producent Alu,,,,OBWODOWA 11,23-200,KRA?NIK,LUBELSKIE,Aliplast,Stac,Rehau,Siegenia,,,,
KERIKO PLAST LTD,Producent drzwi stalowych,,,,SOFIA,  -   ,BULGARIA,ZAGRANICA,Ponzio,Master,Vital,Winkhaus,,,,
KERIM,Sklep internetowy,,,,PODZWIERZYNIEC 25 A,37-100,�A�CUT,PODKARPACKIE,Yawal,Fapim,Deco,Siegenia,,,,
KG MEDIA,Hurtownia,,,,SZKOLNA 5,58-200,DZIER?ONIOW,DOLNOSLASKIE,SAPA,Stac,Schuco,Winkhaus,,,,
KG PROMET,Producent PCV,,,,KRAGUJEVAC/BELGRADE,  -   ,SERBIA,ZAGRANICA,Morad,Master,Profine,Siegenia,,,,
KGJ-VINDUER OG DORE,Hurtownia,,,,HOLSTEBRO,  -   ,DANIA,ZAGRANICA,Blyweerth,Fapim,Aluplast,Winkhaus,,,,
KH TRADE,Producent PCV,,,,KOGE,  -   ,DANIA,ZAGRANICA,Reynaers,Stac,Veka,Siegenia,,,,
KHALID AL SALEH TRADING EST,Producent Alu,,,,SHARJAH,  -   ,EMIRATY ARABSKIE,ZAGRANICA,Aluprof,Master,Rehau,Winkhaus,,,,
KILIMEBUD,Producent drzwi stalowych,,,,KOBALTOWA 3,85-453,BYDGOSZCZ,KUJAWSKO POMORSKIE,Aliplast,Fapim,Vital,Siegenia,,,,
KIM,Sklep internetowy,,,,UL. GRALEWO-STACJA,13-214,UZDOWO,MAZOWIECKIE,Ponzio,Stac,Deco,Winkhaus,,,,
KIM BEDNAREK,Hurtownia,,,,PARKOWA 11,63-210,?ERKOW,WIELKOPOLSKIE,Yawal,Master,Schuco,Siegenia,,,,
KIMEX,Producent PCV,,,,UL. KO?CIELNA 111,26-800,BIA�OBRZEGI RADOMSKIE,MAZOWIECKIE,Aluprof,Fapim,Profine,Winkhaus,,,,
KIMSZAL,Hurtownia,,,,SPACEROWA1,16-400,SUWA�KI,PODLASKIE,Aliplast,Stac,Aluplast,Siegenia,,,,
KIWCO,Producent PCV,,,,TEHRAN,  -   ,IRAN,ZAGRANICA,Ponzio,Master,Veka,Winkhaus,,,,
KK- PROJECT,Producent Alu,,,,VARNA,  -   ,BULGARIA,ZAGRANICA,Yawal,Fapim,Rehau,Siegenia,,,,
KLAASMERK,Producent drzwi stalowych,,,,TALLIN / TARTU / RAKVERE,  -   ,ESTONIA,ZAGRANICA,SAPA,Stac,Vital,Winkhaus,,,,
KLATT,Sklep internetowy,,,,BOGUCIN K/POZNANIA UL. JOD�OWA 28,62-006,KOBYLNICA,WIELKOPOLSKIE,Morad,Master,Deco,Siegenia,,,,
KLES-BUD,Hurtownia,,,,ZIENTARY MALEWSKIEJ 53 (BUDYNEK H),10-307,OLSZTYN,WARMINSKO MAZURSKIE,Blyweerth,Fapim,Schuco,Winkhaus,,,,
KLIMAS,Producent PCV,,,,BRACKA 15,15-084,BIALYSTOK,PODLASKIE,Reynaers,Stac,Profine,Siegenia,,,,
KLUCZYK,Producent Alu,,,,GRUNWALDZKA 7A,82-300,ELBL�G,WARMINSKO MAZURSKIE,Aluprof,Master,Aluplast,Winkhaus,,,,
KM MICHA� PANKIEWICZ,Producent drzwi stalowych,,,,PAW�A SUZINA 3/197,01-586,WARSZAWA,MAZOWIECKIE,Aliplast,Fapim,Veka,Siegenia,,,,
KM OKNO,Sklep internetowy,,,,BOROWA 171,39-215,CZARNA,PODKARPACKIE,Ponzio,Stac,Rehau,Winkhaus,,,,
KM PLAST,Hurtownia,,,,PIEKARSKA 20,05-102,NOWY DW�R MAZOWIECKI,MAZOWIECKIE,Yawal,Master,Vital,Siegenia,,,,
KMD,Producent PCV,,,,BLADOWO 81,89-500,TUCHOLA,KUJAWSKO POMORSKIE,Aluprof,Fapim,Deco,Winkhaus,,,,
KMG,Hurtownia,,,,JUNACKA 29,43-500,CZECHOWICE-DZIEDZICE,SLASKIE,Aliplast,Stac,Schuco,Siegenia,,,,
KMM OKNO,Producent PCV,,,,INFLANCKA 52,91-849,��D?,LODZKIE,Ponzio,Master,Profine,Winkhaus,,,,
KMT,Producent Alu,,,,UL. POZNANSKA 42A,76-200,S�UPSK,POMORSKIE,Yawal,Fapim,Aluplast,Siegenia,,,,
KN TECHNOPLAST,Producent drzwi stalowych,,,,T?GOBORZE 325,33-312,T?GOBORZE 325,BRAK DANYCH,SAPA,Stac,Veka,Winkhaus,,,,
KNS,Sklep internetowy,,,,UL. M�ODZIE?OWA 67 B,44-300,WODZIS�AW ?LASKI,SLASKIE,Aluprof,Master,Rehau,Siegenia,,,,
KOBUD,Hurtownia,,,,UL. STARA DROGA 49,97-500,RADOMSKO,LODZKIE,Aliplast,Fapim,Vital,Winkhaus,,,,
KOCZWARA,Producent PCV,,,,BRANDWICKA 2,37-402,JASTKOWICE,PODKARPACKIE,Ponzio,Stac,Deco,Siegenia,,,,
KODA SYSTEM,Hurtownia,,,,PRZEMYS�OWA 8,44-203,RYBNIK,SLASKIE,Yawal,Master,Schuco,Winkhaus,,,,
KOLF & MOLIJN ,Producent PCV,,,,EMMELOORD ,  -   ,HOLANDIA,ZAGRANICA,SAPA,Fapim,Profine,Siegenia,,,,
KOLMET,Producent Alu,,,,�UKASIEWICZA 17,09-400,P�OCK,MAZOWIECKIE,Morad,Stac,Aluplast,Winkhaus,,,,
KOLMET,Producent drzwi stalowych,,,,KARPACKA 1,32-040,?WI�TNIKI G�RNE,MALOPOLSKIE,Blyweerth,Master,Veka,Siegenia,,,,
KOLONDOOR TECH ARIA,Sklep internetowy,,,,TEHRAN,  -   ,IRAN,ZAGRANICA,Reynaers,Fapim,Rehau,Winkhaus,,,,
KOMAS,Hurtownia,,,,PI�SUDSKIEGO 23,32-050,SKAWINA,MALOPOLSKIE,Aluprof,Stac,Vital,Siegenia,,,,
